network,station,location,channel
N4,N35B,--,BH*
N4,N38B,--,BH*
N4,N41A,--,BH*
N4,O44A,--,BH*
N4,P38B,--,BH*
N4,P40B,--,BH*
N4,P43A,--,BH*
N4,Q44B,--,BH*
N4,Q51A,--,BH*
N4,R32B,--,BH*
N4,R32B,--,HH*
N4,R40B,--,BH*
N4,R49A,--,BH*
N4,S39B,--,BH*
N4,S44A,--,BH*
N4,T35B,--,BH*
N4,T35B,--,HH*
N4,T35B,--,HH*
N4,T42B,--,BH*
N4,T45B,--,BH*
N4,U38B,--,BH*
N4,V53A,--,BH*
N4,Z35B,--,BH*
N4,Z38B,--,BH*
NM,FVM,--,BH*
NM,HBAR,00,HH*
NM,HENM,00,HH*
NM,HICK,00,HH*
NM,LNXT,00,HH*
NM,LPAR,00,HH*
NM,MGMO,--,BH*
NM,MPH,--,BH*
NM,PARM,00,HH*
NM,PBMO,--,BH*
NM,PEBM,00,HH*
NM,PLAL,00,BH*
NM,SIUC,00,BH*
NM,SLM,00,BH*
NM,UALR,--,BH*
NM,UTMT,01,BH*
NQ,KAN01,01,HN*
NQ,KAN02,01,HN*
NQ,KAN02,02,HN*
NQ,KAN03,01,HN*
NQ,KAN04,01,HN*
NQ,KAN05,01,HN*
NQ,KAN07,01,HN*
NQ,KAN08,01,HN*
NQ,KAN15,01,HN*
NQ,OK914,01,HN*
NQ,OK915,01,HN*
NQ,OK916,01,HN*
NQ,OK917,01,HN*
OK,BCOK,--,HH*
OK,BLOK,--,HH*
OK,CCOK,--,HH*
OK,CHOK,--,HH*
OK,CROK,--,HH*
OK,CROK,--,HH*
OK,CSTR,--,HH*
OK,DEOK,--,HH*
OK,ELIS,--,HH*
OK,FNO,01,HH*
OK,GC02,--,EH*
OK,GC02,--,EH*
OK,GORE,--,HH*
OK,HTCH,--,HH*
OK,KAY1,--,HH*
OK,KAY1,--,HH*
OK,KNG1,--,EH*
OK,LOOK,--,HH*
OK,NOKA,--,HH*
OK,OKCFA,--,HH*
OK,OKCSW,--,EH*
OK,QUOK,--,HH*
OK,QUOK,--,HH*
OK,RLOK,--,HH*
OK,U32A,--,BH*
OK,U32A,--,BH*
OK,W35A,--,EH*
OK,W35A,--,HH*
OK,X34A,--,HH*
OK,X37A,--,BH*
RE,PV15,--,HH*
TA,435B,--,BH*
TA,ABTX,--,BH*
TA,BGNE,--,BH*
TA,KSCO,--,BH*
TA,L46A,--,BH*
TA,MSTX,--,BH*
TA,N23A,--,BH*
TA,P49A,--,BH*
TA,Q24A,--,BH*
TA,Q51A,--,BH*
TA,S54A,--,BH*
TA,SFIN,--,BH*
TA,SUSD,--,BH*
TA,T25A,--,BH*
TA,TUL1,--,BH*
TA,U40A,--,BH*
TA,U54A,--,BH*
TA,W39A,--,BH*
TA,W41B,--,BH*
TA,WHTX,--,BH*
TA,X40A,--,BH*
TA,X43A,--,BH*
TA,Y22D,--,BH*
TA,Z41A,--,BH*
US,AMTX,00,BH*
US,CBKS,00,BH*
US,ECSD,10,BH*
US,HDIL,00,BH*
US,ISCO,00,BH*
