year,month,day,hour,minute,second,magnitude,latitude,longitude,id
2016,01,15,09,31,51,3.0,36.58,-98.13,us10004eu6
2016,02,19,13,18,32,3.1,36.53,-98.68,us10004r0x
2016,02,19,18,55,35,2.8,36.47,-98.75,us10004r4q
2016,02,28,04,27,54,3.0,36.42,-97.72,us10004t9h
2016,02,29,03,54,59,2.8,36.28,-97.51,us10004ths
2016,03,06,11,44,39,2.7,36.36,-97.05,us10004vmz
2016,03,06,12,32,49,2.9,36.68,-98.26,us10004vn9
2016,03,13,12,00,24,2.9,36.42,-97.72,us10004x6u
2016,05,02,21,24,07,2.9,36.66,-97.90,us10005d5k
2016,05,03,17,50,56,2.9,35.99,-97.22,us10005df5
2016,05,08,09,11,07,2.7,36.65,-97.70,us10005fue
2016,05,08,10,54,45,2.7,36.87,-98.14,us10005fup
2016,05,08,12,52,19,2.9,36.83,-98.27,us10005fuy
2016,05,10,17,27,16,3.1,36.29,-96.81,us10005gct
2016,05,12,15,26,43,3.0,36.95,-97.97,us10005gte
2016,05,13,17,23,23,2.7,36.13,-97.29,us10005h8a
2016,05,14,17,11,49,2.7,36.87,-98.14,us10005hen
2016,05,22,11,53,47,2.7,36.37,-97.72,us10005j7x
2016,05,22,12,00,46,3.2,36.37,-97.72,us10005j7z
2016,07,01,20,10,18,2.7,36.15,-96.73,us10005zb3
2016,07,04,12,26,45,2.8,36.81,-97.62,us10005ztj
2016,07,08,18,41,55,2.7,36.64,-97.74,us10006205
2016,08,05,13,43,12,3.2,36.71,-98.10,us10006abd
2016,08,05,20,27,37,2.8,36.27,-97.51,us10006bmu
2016,08,07,09,13,53,3.0,36.17,-97.41,us10006bxi
2016,08,09,07,10,23,2.7,37.05,-97.53,us10006c9i
2016,08,12,09,04,56,3.1,36.41,-97.35,us10006d9i
2016,08,14,12,22,21,3.5,36.81,-97.62,us10006dr8
2016,08,15,12,16,49,3.0,36.76,-97.60,us10006dwm
2016,08,17,02,39,05,3.3,36.24,-98.44,us10006ebk
2016,08,21,10,49,48,2.9,37.05,-97.85,us10006fkc
2016,09,03,12,02,44,5.8,36.42,-96.92,us10006jxs
2016,09,03,12,58,37,3.6,36.42,-96.90,us10006jyc
2016,09,05,11,00,55,2.9,36.42,-96.91,us10006kk7
2016,09,05,21,15,46,3.1,36.35,-97.43,us10006kp6
2016,09,08,15,36,22,2.9,36.39,-97.29,us10006n1a
2016,10,28,18,24,54,3.1,36.43,-96.89,us100072rr
2016,10,31,03,27,03,3.4,36.28,-97.50,us1000736b
2016,11,15,19,52,15,2.7,36.94,-97.89,us100078f1
2016,11,18,19,30,22,2.9,36.44,-98.77,us10007a67
2016,11,22,17,07,30,3.0,36.84,-97.83,us10007bgg
2016,01,29,17,47,12,3.4,36.48,-98.74,us20004vjc
2016,02,13,17,07,06,5.1,36.48,-98.70,us20004zy8
2016,02,13,17,44,18,3.4,36.50,-98.71,us20004zyk
2016,03,15,23,44,10,2.7,36.28,-97.49,us20005a2c
2016,03,16,15,45,59,2.9,36.85,-98.14,us20005a63
2016,03,18,20,34,32,2.9,36.68,-97.66,us20005avj
2016,04,01,12,19,49,2.9,36.70,-98.24,us20005dwn
2016,06,02,16,20,56,2.7,36.65,-97.70,us20006013
2016,06,04,01,47,08,3.2,36.26,-97.57,us200061zb
2016,06,13,11,52,08,3.2,36.45,-98.78,us2000642k
2016,07,16,11,47,58,3.1,35.91,-97.34,us20006f6h
2016,07,17,04,17,58,4.2,36.28,-97.51,us20006fas
2016,07,22,13,16,55,3.1,36.79,-97.54,us20006grn
2016,08,30,08,24,55,3.0,36.93,-97.91,us20006v8z
2016,10,11,17,08,10,2.8,36.28,-97.50,us20007d92
2016,10,21,20,33,56,3.1,36.45,-98.77,us20007g08
2016,10,21,20,47,39,3.4,36.44,-98.77,us20007g0b
